BubbleSort;ABCSort
359;47144
611;262
2;104
3;422
5;359
7;149
7;163
14;436
12;222
14;235
17;250
20;297
23;300
26;325
30;369
56;589
50;547
56;576
62;965
72;695
66;527
69;542
75;576
81;612
87;646
94;706
99;1777
110;9684
151;1033
212;1050
184;1004
151;842
203;1342
244;1269
175;844
269;1136
245;1120
258;1851
353;1378
288;1358
299;1283
317;1336
330;1334
341;1366
355;1419
370;1478
391;2774
460;1557
420;1541
436;1565
450;1641
380;1392
496;1655
510;1981
526;1706
542;1725
454;1450
472;1530
491;1613
505;2990
654;1912
671;1947
738;1689
776;2219
627;2278
932;2918
764;2901
1128;2930
912;2922
732;2913
1128;3324
1030;3259
1477;2789
1355;2797
1717;2930
1192;3273
1084;2713
1152;2988
953;2050
967;3088
1681;3430
1278;2850
1227;2682
1157;3495
1344;3609
1391;3357
1310;2725
1440;2800
1416;3291
1209;2319
1208;2336
1240;2396
1269;2670
1283;2383
1275;2390
1989;2707
1362;2698
1643;3640
2210;3336
1523;3455
1520;2542
1565;2597
1570;3515
2014;3219
1665;3057
1856;2615
1700;2911
1733;2915
1726;3280
1872;2978
1796;2745
2021;2814
1916;3063
1910;2846
1925;2882
1954;2795
1908;2540
3733;3671
2029;2928
2159;2599
2152;2909
2138;3009
2054;2887
3523;3160
3751;4230
2340;2818
2256;3126
3302;3755
2735;2956
3299;5866
2744;3579
3304;3517
3264;3394
3349;3979
3033;3459
2752;3691
4081;4111
3954;4191
3360;3630
3572;16847
2960;3260
3129;4065
4300;3875
3056;3473
3836;3691
3065;3461
3298;5044
3302;3901
3378;4253
3289;3829
3227;3949
3213;3730
3133;4842
4683;4338
4943;5601
4072;4118
5097;4140
5693;5395
4448;3766
4953;4763
5332;4842
5101;5082
5842;5143
5168;4693
7293;4999
7790;7650
7019;5610
5582;6269
5608;5614
6088;6938
5147;5812
5481;5205
6081;5234
6624;5028
6522;5133
5600;5103
5360;5393
6509;6154
6447;4569
4758;4386
6420;4640
5806;5667
6535;6143
5334;4500
6742;6301
5944;5313
5503;4860
6711;6368
6560;4761
7588;8191
8047;7855
7414;5341
6367;5534
6344;4700
7007;5868
7237;5909
7177;6184
8832;5996
7401;4772
6884;6046
7244;5948
6160;5351
8255;9477
7821;6955
7546;8523
9138;8864
9797;6098
6809;10816
7878;5751
10791;6759
8513;7011
7132;7841
12828;7538
12870;9494
9702;10970
14657;7750
14449;9604
8046;9009
12891;8742
10154;8934
8825;7226
10753;8102
7848;7921
11962;7375
8684;8490
8445;6052
8597;6878
8048;7423
8340;7052
8346;7325
10992;8918
11516;10168
15819;8627
9872;7098
8853;10418
11990;6814
13931;10220
14842;10934
9849;7640
11205;7211
10633;6166
9545;7130
11944;7383
10684;6973
10059;6388
12577;7626
9709;7634
12559;6795
12267;9422
10049;6826
10883;7443
10715;7740
10950;6806
9957;7052
10283;9363
11013;6501
10415;6742
10586;7886
10068;7953
14482;7348
11757;7970
11220;7090
11549;7744
11230;9238
14430;11380
14997;10833
14818;10905
14943;9809
12156;8088
13063;8435
12582;9425
11730;10858
13461;9729
13609;7453
14091;11157
14701;8510
11306;7534
12421;8384
12921;11334
13418;14387
14680;10207
11795;7691
14535;8787
13827;9109
13299;9928
13125;8835
12856;8992
14103;9097
14123;8949
14246;9340
15614;9552
14438;8377
18915;11602
16058;9391
18603;13895
21347;13022
20945;12415
26252;12299
17235;9409
15408;9647
15935;9338
18238;11649
17646;11615
18089;12477
14730;12564
15757;9041
16470;9597
17341;16137
19836;11238
16712;14653
24772;9234
22047;11705
19748;11372
16122;10060
15458;10772
16476;9748
18831;9604
15437;8608
18492;9698
17236;8467
17875;9321
17902;8390
19740;8545
19094;8598
17048;8256
14168;8706
14828;8459
14903;9313
15232;10631
16809;9181
16609;9041
15008;8680
14790;8496
14751;8646
14813;8493
15119;8649
15143;8988
15123;8818
15258;8642
15926;8779
15460;8994
15342;8953
19229;8801
20984;9183
17609;9574
19576;10669
17412;9513
16712;10057
16429;9323
22878;9269
20131;9249
16520;9456
16675;9335
17493;9579
17235;9396
16925;9437
16988;9509
23775;10030
19282;10233
20668;11411
19686;10404
17669;9952
21051;9996
18078;10786
19073;10006
18328;9623
24042;9518
22878;9918
18664;9699
19151;10127
21160;9644
20613;10325
23992;10414
22498;10466
18765;9858
19470;10093
19323;10134
25345;9998
18978;10636
24416;10364
19123;10180
19206;10233
19397;10014
19615;10555
20259;10651
24198;14148
24432;11662
20713;10239
20564;10511
20179;10425
24604;14254
21915;10970
20649;10655
20769;11186
25315;11114
20725;11145
22483;12202
26706;13419
25524;11516
25315;11212
21257;11220
21474;16609
24365;11198
21783;10934
21888;10978
22012;10999
22272;10876
23223;11572
26551;11359
28353;13748
24561;11475
23707;10984
23486;11635
24111;11567
24003;11754
24703;13425
25767;13368
30048;12080
27771;12327
29095;12334
27156;11736
34495;12251
28835;11807
28526;12351
24750;11966
29652;14016
26044;12241
24801;11920
29753;12044
29789;13344
26728;12020
28488;12279
25588;11959
31280;16639
29924;12083
34845;19775
27718;11924
25679;13245
28906;12879
34675;12789
28652;12605
26354;12520
27831;12696
26831;12726
26688;13042
33667;12650
33493;14811
30609;14161
34143;19997
32102;14163
32009;13408
29312;15310
33905;13295
31885;13832
38134;31943
57857;17105
33589;22964
36613;15952
34241;15637
33160;12982
28649;13210
29091;13096
29266;13947
30702;13247
36729;15230
34466;15793
34567;14533
32973;13639
29945;13435
36364;13246
34240;13804
30520;13420
30362;20157
35906;16277
35202;13890
34113;14481
33776;13507
35353;13551
31067;14431
31643;14053
31495;13999
31883;14667
34606;20515
40458;14232
36360;14497
32102;13955
31919;14153
36529;14162
37904;14520
39850;15292
36455;15143
38632;14339
37853;14333
33127;14812
33287;14541
33580;14805
33733;14543
45981;15302
35934;14950
37635;14301
